card_id,card_name,card_set,rarity,tcg_holo_high,tcg_holo_mid,tcg_holo_market,tcg_holo_low,tcg_revhol_high,tcg_revhol_low,tcg_revhol_mid,tcg_revhol_market,tcg_first_ed_holo_high,tcg_first_ed_holo_mid,tcg_first_ed_holo_low,tcg_first_ed_holo_market,tcg_first_ed_normal_high,tcg_first_ed_normal_mid,tcg_first_ed_normal_low,tcg_first_ed_normal_market,tcg_normal_high,tcg_normal_mid,tcg_normal_low,tcg_normal_market,updated_at
hgss4-1,Aggron,HS—Triumphant,Rare Holo,4.49,2.53,2.11,1.35,4.8,1.75,2.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.837235Z
xy5-1,Weedle,Primal Clash,Common,0,0,0,0,11.84,0.24,0.4,0.43,0,0,0,0,0,0,0,0,2.0,0.17,0.01,0.14,2024-04-03T20:32:45.837235Z
pl1-1,Ampharos,Platinum,Rare Holo,14.0,5.99,4.68,3.75,131.75,4.05,5.61,7.99,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.837235Z
dp3-1,Ampharos,Secret Wonders,Rare Holo,29.98,7.94,14.75,4.0,14.0,3.85,4.71,7.04,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.837235Z
det1-1,Bulbasaur,Detective Pikachu,Common,4.99,0.37,0.28,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.837235Z
dv1-1,Dratini,Dragon Vault,Rare Holo,6.58,1.3,1.34,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.837235Z
mcd19-1,Caterpie,McDonald's Collection 2019,,11.99,5.05,5.88,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.837235Z
pl3-1,Absol G,Supreme Victors,Rare Holo,14.0,8.98,9.01,2.22,8.33,2.84,5.82,7.19,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.837235Z
ex12-1,Aerodactyl,Legend Maker,Rare Holo,19.99,16.31,16.62,14.89,34.0,19.99,19.99,38.35,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ex3-1,Absol,Dragon,Rare Holo,46.74,37.31,34.37,22.0,30.5,13.46,21.56,24.76,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
