card_id,card_name,card_set,rarity,card_print_number,set_printed_total,tcg_holo_high,tcg_holo_mid,tcg_holo_market,tcg_holo_low,tcg_revhol_high,tcg_revhol_low,tcg_revhol_mid,tcg_revhol_market,tcg_first_ed_holo_high,tcg_first_ed_holo_mid,tcg_first_ed_holo_low,tcg_first_ed_holo_market,tcg_first_ed_normal_high,tcg_first_ed_normal_mid,tcg_first_ed_normal_low,tcg_first_ed_normal_market,tcg_normal_high,tcg_normal_mid,tcg_normal_low,tcg_normal_market,updated_at
hgss4-1,Aggron,HS—Triumphant,Rare Holo,1,102,4.49,2.27,2.11,1.35,4.8,1.75,2.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.724981Z
xy5-1,Weedle,Primal Clash,Common,1,160,0,0,0,0,11.84,0.24,0.4,0.43,0,0,0,0,0,0,0,0,2.0,0.16,0.01,0.13,2024-04-04T19:13:21.725983Z
pl1-1,Ampharos,Platinum,Rare Holo,1,127,14.0,5.99,4.68,3.75,131.75,4.05,5.61,7.99,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
dp3-1,Ampharos,Secret Wonders,Rare Holo,1,132,29.98,8.39,14.75,4.0,14.99,3.85,4.86,7.04,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
det1-1,Bulbasaur,Detective Pikachu,Common,1,18,4.99,0.35,0.31,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
dv1-1,Dratini,Dragon Vault,Rare Holo,1,20,6.58,1.31,1.34,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
mcd19-1,Caterpie,McDonald's Collection 2019,,1,12,11.99,5.05,5.88,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
pl3-1,Absol G,Supreme Victors,Rare Holo,1,147,14.0,8.98,9.01,2.22,8.33,3.36,5.95,7.19,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ex12-1,Aerodactyl,Legend Maker,Rare Holo,1,92,19.99,16.31,16.62,14.89,34.0,19.99,19.99,38.35,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ex3-1,Absol,Dragon,Rare Holo,1,97,46.74,37.31,34.37,22.0,30.5,13.46,21.56,24.76,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ru1-1,Venusaur,Pokémon Rumble,,1,16,105.66,73.08,41.66,40.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ecard2-H1,Ampharos,Aquapolis,Rare Holo,H1,147,,,,,,,,,,,,,,,,,,,,,2024-04-04T19:13:21.725983Z
base4-1,Alakazam,Base Set 2,Rare Holo,1,130,159.99,20.99,24.51,15.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
hgss1-1,Arcanine,HeartGold & SoulSilver,Rare Holo,1,123,35.0,25.46,27.63,14.97,46.12,10.0,32.31,35.31,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ex11-1,Beedrill δ,Delta Species,Rare Holo,1,113,19.58,15.99,18.99,12.72,33.75,12.52,24.66,26.99,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ex7-1,Azumarill,Team Rocket Returns,Rare Holo,1,109,23.0,19.76,21.95,15.85,51.98,16.51,28.5,29.98,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
gym1-1,Blaine's Moltres,Gym Heroes,Rare Holo,1,132,0,0,0,0,0,0,0,0,400.0,334.88,269.75,185.25,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
base3-1,Aerodactyl,Fossil,Rare Holo,1,62,0,0,0,0,0,0,0,0,77.01,65.75,30.0,68.7,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
sm9-1,Celebi & Venusaur-GX,Team Up,Rare Holo GX,1,181,19.99,9.4,9.79,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
xy2-1,Caterpie,Flashfire,Common,1,106,0,0,0,0,2.84,0.24,0.41,0.4,0,0,0,0,0,0,0,0,1.97,0.19,0.05,0.16,2024-04-04T19:13:21.725983Z
pop6-1,Bastiodon,POP Series 6,Rare,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,1.49,1.0,1.36,2024-04-04T19:13:21.725983Z
ecard2-H2,Arcanine,Aquapolis,Rare Holo,H2,147,,,,,,,,,,,,,,,,,,,,,2024-04-04T19:13:21.725983Z
hgss4-2,Altaria,HS—Triumphant,Rare Holo,2,102,4.24,1.89,1.76,0.98,6.99,1.52,2.11,1.75,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
pl1-2,Blastoise,Platinum,Rare Holo,2,127,25.0,13.09,18.44,8.5,29.99,10.5,11.99,25.95,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ex3-2,Altaria,Dragon,Rare Holo,2,97,24.35,15.0,21.55,14.37,18.74,6.0,8.27,8.23,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
dp3-2,Blastoise,Secret Wonders,Rare Holo,2,132,55.73,31.28,32.83,17.98,23.93,14.76,16.88,23.69,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
base3-2,Articuno,Fossil,Rare Holo,2,62,0,0,0,0,0,0,0,0,139.99,96.99,66.95,115.22,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
pl3-2,Blaziken FB,Supreme Victors,Rare Holo,2,147,16.99,9.35,8.34,7.4,15.23,5.99,9.9,13.48,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ex11-2,Crobat δ,Delta Species,Rare Holo,2,113,9.99,5.46,7.11,4.0,12.99,10.24,11.57,13.48,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
pop6-2,Lucario,POP Series 6,Rare,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99,2.96,1.56,3.88,2024-04-04T19:13:21.725983Z
xy2-2,Metapod,Flashfire,Uncommon,2,106,0,0,0,0,3.97,0.34,0.6,0.58,0,0,0,0,0,0,0,0,2.54,0.25,0.09,0.22,2024-04-04T19:13:21.725983Z
base4-2,Blastoise,Base Set 2,Rare Holo,2,130,81.01,76.45,80.54,56.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
gym1-2,Brock's Rhydon,Gym Heroes,Rare Holo,2,132,0,0,0,0,0,0,0,0,83.52,42.63,38.0,67.81,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
hgss1-2,Azumarill,HeartGold & SoulSilver,Rare Holo,2,123,6.5,3.59,3.92,1.45,3.4,1.31,1.8,2.61,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
det1-2,Ludicolo,Detective Pikachu,Rare,2,18,3.95,0.6,0.53,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
sm9-2,Weedle,Team Up,Common,2,181,0,0,0,0,0.99,0.19,0.36,0.26,0,0,0,0,0,0,0,0,1.45,0.2,0.06,0.15,2024-04-04T19:13:21.725983Z
ex12-2,Aggron,Legend Maker,Rare Holo,2,92,17.34,8.99,8.99,5.32,21.79,9.0,18.0,17.87,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ex7-2,Dark Ampharos,Team Rocket Returns,Rare Holo,2,109,68.99,47.42,46.99,34.95,70.0,34.01,44.58,63.99,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ru1-2,Cherrim,Pokémon Rumble,,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.39,13.83,11.94,16.05,2024-04-04T19:13:21.725983Z
mcd19-2,Alolan Exeggutor,McDonald's Collection 2019,,2,12,9.79,3.61,3.35,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
xy5-2,Kakuna,Primal Clash,Uncommon,2,160,0,0,0,0,1.95,0.15,0.33,0.28,0,0,0,0,0,0,0,0,4.5,0.21,0.03,0.19,2024-04-04T19:13:21.725983Z
xy11-1,Tangela,Steam Siege,Common,1,114,0,0,0,0,1.83,0.06,0.25,0.2,0,0,0,0,0,0,0,0,2.0,0.12,0.01,0.07,2024-04-04T19:13:21.725983Z
ex14-1,Banette,Crystal Guardians,Rare Holo,1,100,5.66,4.33,4.59,1.98,7.48,2.5,5.47,7.16,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
sm12-1,Venusaur & Snivy-GX,Cosmic Eclipse,Rare Holo GX,1,236,22.0,5.5,5.6,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
bw1-1,Snivy,Black & White,Common,1,114,0,0,0,0,3.85,0.48,0.86,1.08,0,0,0,0,0,0,0,0,8.36,0.25,0.09,0.25,2024-04-04T19:13:21.725983Z
sm115-1,Caterpie,Hidden Fates,Common,1,68,0,0,0,0,1.56,0.08,0.23,0.18,0,0,0,0,0,0,0,0,2.0,0.1,0.01,0.05,2024-04-04T19:13:21.725983Z
si1-1,Mew,Southern Islands,,1,18,0,0,0,0,140.18,84.95,93.12,117.64,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
dp1-1,Dialga,Diamond & Pearl,Rare Holo,1,130,14.39,7.99,11.36,2.46,12.12,3.0,7.32,10.75,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
sm3-1,Caterpie,Burning Shadows,Common,1,147,0,0,0,0,1.87,0.01,0.24,0.19,0,0,0,0,0,0,0,0,5.0,0.1,0.01,0.06,2024-04-04T19:13:21.725983Z
pop7-1,Ampharos,POP Series 7,Rare,1,17,11.83,5.55,11.83,2.35,0,0,0,0,0,0,0,0,0,0,0,0,6.74,2.9,2.25,5.06,2024-04-04T19:13:21.725983Z
gym2-1,Blaine's Arcanine,Gym Challenge,Rare Holo,1,132,0,0,0,0,0,0,0,0,219.75,207.05,185.0,229.99,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
col1-1,Clefable,Call of Legends,Rare Holo,1,95,5.0,2.9,3.15,1.25,5.5,1.3,3.3,3.39,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ex9-1,Blaziken,Emerald,Rare Holo,1,106,14.76,10.57,15.11,5.25,87.95,33.97,70.0,87.95,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
bw10-1,Surskit,Plasma Blast,Common,1,101,0,0,0,0,4.51,0.19,0.33,0.28,0,0,0,0,0,0,0,0,1.52,0.2,0.04,0.18,2024-04-04T19:13:21.725983Z
swsh35-1,Venusaur V,Champion's Path,Rare Holo V,1,73,19.99,1.99,1.69,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
xy7-1,Oddish,Ancient Origins,Common,1,98,0,0,0,0,4.52,0.15,0.31,0.26,0,0,0,0,0,0,0,0,2.0,0.15,0.02,0.12,2024-04-04T19:13:21.725983Z
sm1-1,Caterpie,Sun & Moon,Common,1,149,0,0,0,0,1.95,0.1,0.25,0.2,0,0,0,0,0,0,0,0,5.0,0.1,0.02,0.04,2024-04-04T19:13:21.725983Z
ex13-1,Armaldo δ,Holon Phantoms,Rare Holo,1,110,12.48,8.8,8.53,2.1,12.74,8.0,11.01,11.35,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
dv1-2,Dratini,Dragon Vault,Rare Holo,2,20,24.95,3.28,3.45,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ecard2-H3,Ariados,Aquapolis,Rare Holo,H3,147,,,,,,,,,,,,,,,,,,,,,2024-04-04T19:13:21.725983Z
sm12-2,Oddish,Cosmic Eclipse,Common,2,236,0,0,0,0,1.0,0.25,0.56,0.52,0,0,0,0,0,0,0,0,1.0,0.15,0.03,0.1,2024-04-04T19:13:21.725983Z
ex9-2,Deoxys,Emerald,Rare Holo,2,106,49.96,24.15,24.15,13.77,44.99,29.89,34.0,28.65,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
bw1-2,Snivy,Black & White,Common,2,114,0,0,0,0,2.44,0.4,1.16,1.45,0,0,0,0,0,0,0,0,2.71,0.29,0.15,0.3,2024-04-04T19:13:21.725983Z
base4-3,Chansey,Base Set 2,Rare Holo,3,130,29.99,9.75,9.63,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ru1-3,Ninetales,Pokémon Rumble,,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.98,38.99,30.46,33.75,2024-04-04T19:13:21.725983Z
xy5-3,Beedrill,Primal Clash,Rare,3,160,0,0,0,0,1.95,0.3,0.76,0.83,0,0,0,0,0,0,0,0,4.42,0.35,0.1,0.3,2024-04-04T19:13:21.725983Z
pop6-3,Manaphy,POP Series 6,Rare,3,17,8.44,5.62,5.82,2.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0.1,1.0,2024-04-04T19:13:21.725983Z
si1-2,Pidgeot,Southern Islands,,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.99,12.0,8.49,12.13,2024-04-04T19:13:21.725983Z
ex11-3,Dragonite δ,Delta Species,Rare Holo,3,113,114.97,93.0,114.97,42.15,148.95,53.99,130.0,133.15,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
pl3-3,Drifblim FB,Supreme Victors,Rare Holo,3,147,5.86,2.99,5.1,1.89,5.7,2.8,3.23,3.87,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
base3-3,Ditto,Fossil,Rare Holo,3,62,0,0,0,0,0,0,0,0,84.62,44.95,35.0,68.71,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
hgss1-3,Clefable,HeartGold & SoulSilver,Rare Holo,3,123,9.99,3.08,4.24,1.99,3.96,1.04,1.17,3.99,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ex13-2,Cradily δ,Holon Phantoms,Rare Holo,2,110,11.0,7.33,7.5,5.0,17.9,6.86,9.99,9.8,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
hgss4-3,Celebi,HS—Triumphant,Rare Holo,3,102,17.0,4.75,5.5,3.26,9.21,1.75,4.49,6.85,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
xy7-2,Gloom,Ancient Origins,Uncommon,2,98,0,0,0,0,1.95,0.1,0.43,0.43,0,0,0,0,0,0,0,0,1.97,0.16,0.04,0.11,2024-04-04T19:13:21.725983Z
bw10-2,Masquerain,Plasma Blast,Rare,2,101,0,0,0,0,1.99,0.25,0.5,0.49,0,0,0,0,0,0,0,0,3.0,0.34,0.15,0.3,2024-04-04T19:13:21.725983Z
ex7-3,Dark Crobat,Team Rocket Returns,Rare Holo,3,109,21.99,18.08,17.76,9.89,24.99,18.01,19.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ex12-3,Cradily,Legend Maker,Rare Holo,3,92,10.0,4.82,4.82,3.74,14.0,7.06,8.93,9.0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
swsh35-2,Weedle,Champion's Path,Common,2,73,0,0,0,0,2.95,0.05,0.22,0.18,0,0,0,0,0,0,0,0,5.0,0.1,0.01,0.05,2024-04-04T19:13:21.725983Z
gym2-2,Blaine's Charizard,Gym Challenge,Rare Holo,2,132,0,0,0,0,0,0,0,0,1000.0,855.0,598.98,949.99,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
xy2-3,Butterfree,Flashfire,Rare,3,106,0,0,0,0,2.79,0.49,0.75,0.77,0,0,0,0,0,0,0,0,2.94,0.41,0.29,0.37,2024-04-04T19:13:21.725983Z
xy11-2,Tangrowth,Steam Siege,Uncommon,2,114,0,0,0,0,1.0,0.24,0.32,0.3,0,0,0,0,0,0,0,0,2.0,0.15,0.03,0.12,2024-04-04T19:13:21.725983Z
det1-3,Morelull,Detective Pikachu,Common,3,18,2.0,0.25,0.2,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ex3-3,Crawdaunt,Dragon,Rare Holo,3,97,9.99,2.99,3.09,1.45,5.24,2.52,3.95,3.97,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
dv1-3,Dragonair,Dragon Vault,Rare Holo,3,20,19.95,1.99,2.12,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
sm9-3,Weedle,Team Up,Common,3,181,0,0,0,0,1.44,0.15,0.28,0.23,0,0,0,0,0,0,0,0,1.42,0.19,0.05,0.1,2024-04-04T19:13:21.725983Z
pop7-2,Gallade,POP Series 7,Rare,2,17,24.87,15.0,26.24,6.29,0,0,0,0,0,0,0,0,0,0,0,0,15.0,6.33,5.03,10.43,2024-04-04T19:13:21.725983Z
sm1-2,Metapod,Sun & Moon,Uncommon,2,149,0,0,0,0,1.95,0.05,0.25,0.21,0,0,0,0,0,0,0,0,1.14,0.15,0.02,0.12,2024-04-04T19:13:21.725983Z
mcd19-3,Magmar,McDonald's Collection 2019,,3,12,5.0,3.83,3.09,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
col1-2,Deoxys,Call of Legends,Rare Holo,2,95,26.44,6.19,9.41,4.34,17.99,2.12,5.37,4.92,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
pl1-3,Blaziken,Platinum,Rare Holo,3,127,11.7,5.54,8.58,2.75,9.0,3.03,7.77,5.99,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
sm115-2,Metapod,Hidden Fates,Uncommon,2,68,0,0,0,0,1.24,0.05,0.25,0.18,0,0,0,0,0,0,0,0,1.07,0.1,0.01,0.06,2024-04-04T19:13:21.725983Z
gym1-3,Erika's Clefable,Gym Heroes,Rare Holo,3,132,0,0,0,0,0,0,0,0,77.98,45.97,44.95,48.92,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
dp3-3,Charizard,Secret Wonders,Rare Holo,3,132,217.56,96.43,185.66,77.66,99.99,45.86,62.0,81.14,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
sm2-1,Bellsprout,Guardians Rising,Common,1,145,0,0,0,0,2.36,0.02,0.25,0.21,0,0,0,0,0,0,0,0,5.0,0.13,0.02,0.12,2024-04-04T19:13:21.725983Z
base5-1,Dark Alakazam,Team Rocket,Rare Holo,1,82,0,0,0,0,0,0,0,0,79.6,68.37,48.02,74.28,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
xy4-1,Venonat,Phantom Forces,Common,1,119,0,0,0,0,12.12,0.1,0.33,0.23,0,0,0,0,0,0,0,0,2.0,0.22,0.05,0.22,2024-04-04T19:13:21.725983Z
bw11-1,Tangela,Legendary Treasures,Common,1,113,0,0,0,0,3.4,0.37,0.49,0.46,0,0,0,0,0,0,0,0,1.3,0.25,0.04,0.26,2024-04-04T19:13:21.725983Z
ex4-1,Team Aqua's Cacturne,Team Magma vs Team Aqua,Rare Holo,1,95,39.74,9.1,9.06,7.99,10.99,6.99,9.9,5.92,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
bw4-1,Pinsir,Next Destinies,Rare,1,99,0,0,0,0,1.99,0.4,0.61,0.91,0,0,0,0,0,0,0,0,1.6,0.44,0.24,0.4,2024-04-04T19:13:21.725983Z
bw9-1,Weedle,Plasma Freeze,Common,1,116,0,0,0,0,4.24,0.2,0.54,1.37,0,0,0,0,0,0,0,0,2.29,0.24,0.14,0.24,2024-04-04T19:13:21.725983Z
base1-1,Alakazam,Base,Rare Holo,1,102,99.99,39.99,47.85,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
